brand,primaryCategories,colors,name,prices,prices.currency,prices.offer,sizes
New Balance,Shoes,By,New Balance Women's Wvngo By Ankle-High Running Shoe - 7.5W,67.99,USD,Online only,9M
City Classified,Shoes,Natural Beige,"1-Ayden by City Classified, Comfy Foam Padded Vintage Chunky Block High Heel Mary Jane Pump",27.99,USD,Online only,US 8
Michael Kors,Shoes,Ecru,Michael Kors Natasha Slide Women's Slippers,39.99,USD,Online only: 64% off,6 M
Diba,Shoes,Natural Leather,Women's Diba True In Between Open Toe Bootie,116.45,USD,Online only: 22% off,9
SummitFashions,Shoes,Red,5 Inch Women's Sexy Knee High Boots High Heel Boot With Zipper,78.89,USD,Online only: 21% off,13
Soda,Shoes,Dark Wine Red,"Second by Soda, Lug Sole Combat Bootie w Chunky Block High Heel",38,USD,Online only,US 6.5
Aerosoles,Shoes,Black Suede/Crackle Lizard Print Leather,Women's Aerosoles Times Square Tassel Loafer,47,USD,Online only,8.5
Softwalk,Shoes,Brown Printed Python,Softwalk Womens Hampshire Black Snake Flats Size 6.5,55.76,USD,Online only,9
Trotters,Shoes,Black Rubberized PU/Ballistic Nylon/Faux Fur,women's trotters bowen tall waterproof boot,89.95,USD,Online only,12
Easy Street,Shoes,Brown Tool Polyurethane/Gore,Women's Easy Street Origin Clog,71.12,USD,Online only,9.5 N
Breckelles,Shoes,Brown,Breckelles Heather-32 New Women PU Criss Cross Strap Chunky Heel Ankle Bootie,38.89,USD,Online only,7.5
Breckelles,Shoes,Tan,Breckelles Rita-62 New Women PU Open Toe Cutout Studs T Strap Flat Sandal Size,39.99,USD,Online only,8
Trotters,Shoes,Black Lux Soft Leather,women's trotters shannon ankle boot,86.28,USD,Online only,9.5
SALE,Shoes,Black/White Patent,"*5 Pump W/ Contrast Piping Bow - Black/White Patent, 6",36.29,USD,Online only,12
Steve Madden,Shoes,Black,Steve Madden Women's Madelena Suede Black Pump - 9M,18.95,USD,Online only: 79% off,6M
Callisto,Shoes,Black,Callisto Women's Advisor Camel Pump - 11M,22.99,USD,Online only: 79% off,7.5M
Callisto,Shoes,Camel,Callisto Women's Advisor Camel Pump - 11M,46.34,USD,Online only: 37% off,8
Aerosoles,Shoes,White,women's aerosoles traveler slip-on,90.03,USD,Online only,7
Breckelles,Shoes,Black,Breckelles AD94 Women Leatherette Designer Cut Out Round Toe Ankle Bootie,37.98,USD,Online only,6
Mizuno,Shoes,BLACK-PINK 9013,Wave Daichi 2 Womens - Mizuno,45,USD,Online only: 65% off,6.5 B US
Western Chief,Shoes,Florence Navy,Western Chief Women's Plush Slip On Slipper,16.62,USD,Online only: 12% off,8
Unique Bargains,Shoes,Blue,Women Contrast Color PU Panel Mesh Training Shoes,34.29,USD,Online only: 52% off,8.5
FitFlop,Shoes,Urban White,Fitflop Womens F-Sporty II Lace Up Fringe Sneaker Shoes,89.99,USD,Online only: 31% off,8.5 M US
Easy Street,Shoes,White,Easy Street Womens Juno Faux Leather Ankle Boots,346.65,USD,Online only,8 M
Skechers,Shoes,Black / White,Skechers Women's Mantra Ultra - Forte Navy / White Ankle-High Fashion Sneaker 7M,17.97,USD,Online only: 74% off,6.5M
David Tate,Shoes,Natural Satin,David Tate Women's LACEY Natural Ballet Flats 11.5 M,89.93,USD,Online only,4
Pleaser,Shoes,Clear/Smoke Synthetic,Women's Pleaser Beau 608 Wedge Heel,81.63,USD,Online only,5
Pleaser,Shoes,Clear/Smoke Synthetic,Women's Pleaser Beau 608 Wedge Heel,59.95,USD,Online only,6
Asics,Shoes,Silver / Pistachio / Pink Glow,Asics Women's Gt-1000 4 Silver / Pistachio Pink Glow Ankle-High Mesh Running Shoe - 6M,100,USD,Online only,10.5M
Asics,Shoes,Mysterioso / Black / Aluminum,Asics Women's Gel-Torrance Mysterioso / Black Aluminum Ankle-High Running Shoe - 10M,62.29,USD,Online only,7.5M
alpine swiss,Shoes,Black Patent,Alpine Swiss Pierina Womens Ballet Flats Leather Lined Classic Slip On Shoes,11.99,USD,Online only: 69% off,Size 9
Aerosoles,Shoes,White,Aerosoles Women's Traveler Memory Foam Zip Flats,63.19,USD,Online only: 20% off,US 8.5W
Carlos,Shoes,White,women's carlos by carlos santana alexia knee high boot,233.25,USD,Online only,7
Drew,Shoes,Black Combo,Women's Drew Joy,127.96,USD,Online only,10.5
City Classified,Shoes,Blue,City Classified Women's Curvy Round Closed Toe Ankle Strap Flat Sandal,21.99,USD,Online only,7 BM US
Floral,Shoes,Black,"FLORAL Gemma Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 7.5",49.95,USD,Online only,7
Diba,Shoes,White Leather,Women's Diba True Cuddle Bun Chelsea Boot,148.95,USD,Online only,8.5
Diba True,Shoes,Chocolate Leather,Women's Diba True Flying Solo Bootie,121.33,USD,Online only,8.5
Unique Bargains,Shoes,Blue,PYPE Women Contrast Sole Breathable Mesh Running Shoes,39.87,USD,Online only: 50% off,9.5
Aerosoles,Shoes,Silver Metallic Faux Leather,Women's Aerosoles Silver Plush Gladiator Sandal,57.96,USD,Online only,7.5
New Balance,Shoes,Gg2,New Balance Women's Wx811 Bm2 Ankle-High Running Shoe - 6.5W,47.15,USD,Online only: 37% off,5.5M
Franco Sarto,Shoes,Gray,New Franco Sarto Womens 30712L1 Black Ankle Strap Sandals Size 8,20.71,USD,Online only: 44% off,8.5
New Balance,Shoes,Covert Green,New Balance WRL420RB: 420 Classic Covert Green Womens Lifestyle Sneakers,30.04,USD,Online only,6.5 BM US Women
New Balance,Shoes,Tp,New Balance Womens Wrl24ta Revlite 24 Low Top Lace Up Running Sneaker,22.52,USD,Online only: 65% off,5W
Beacon Shoes,Shoes,Navy Stretch Fabric,Women's Beacon Shoes Surprise Skimmer,49.95,USD,Online only,9.5
Floral,Shoes,Gold,FLORAL Teagan Women's Wide Width Block Heel Rhinestone Bow Slingback Pump BLACK 8.5,49.95,USD,Online only,7.5
Emeril Lagasse Footwear,Shoes,Black Leather,Women's Canal Sneaker,49.95,USD,Online only: 23% off,6
Diba,Shoes,Natural Leather,Women's Diba True In Between Open Toe Bootie,116.45,USD,Online only: 22% off,8
Dr. Scholl's Shoes,Shoes,Carmel,Dr. Scholl's Womens Svetlana Faux Leather Pointed Toe D'Orsay,50.65,USD,Online only,9.5 Medium BM
Callisto,Shoes,Black,Callisto Women's Advisor Camel Pump - 11M,58.93,USD,Online only: 20% off,9.5
City Classified,Shoes,Tan,Decade Suede Tan chestnut Brown Small Short Heel City Classified Women Side Zipper Ankle Boots Booties Cutout,36.99,USD,Online only,9
City Classified,Shoes,Tan,Decade Suede Tan chestnut Brown Small Short Heel City Classified Women Side Zipper Ankle Boots Booties Cutout,36.99,USD,Online only,8.5
Floral,Shoes,Black,"FLORAL Chelsea Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 10",49.95,USD,Online only,6
Bogs,Shoes,Grape Fleck,Women's Whiteout Fleck Winter Boot,183.92,USD,Online only,8
Fergalicious,Shoes,Black Polyurethane,Women's Fergalicious Harding Ankle Bootie,69.95,USD,Online only,10
Callisto,Shoes,Black,Callisto Women's Advisor Camel Pump - 11M,22.99,USD,Online only: 79% off,8M
Trotters,Shoes,Black Suede,"trotters women's luxury boot, tan/cognac, 8.5 m us",100.76,USD,Online only,12
Floral,Shoes,Gold,"FLORAL Gemma Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 7.5",49.95,USD,Online only,7
New Balance,Shoes,By,New Balance Women's Wvngo By Ankle-High Running Shoe - 7.5W,61.48,USD,Online only: 53% off,8W
New Balance,Shoes,Black,"New Balance Women's WW813 Walking Hook Loop Shoes, Black (color, 5.5 B(M) US)",122.6,USD,Online only,7 C/D US
Easy Street,Shoes,Cocoa Leather/Fabric,"New Easy Street Womens Emma CocoaLeather/Fabric Fashion Shoes Size 6.5 (C,D,W)",16.23,USD,Online only,6.5
Easy Spirit,Shoes,Black/Patent,Easy Spirit Womens Motion Leather Almond Toe Oxfords,57.59,USD,Online only: 28% off,11
Call It Spring,Shoes,Black,Call It Spring Womens Hailassi Booties Ankle Sock Boot,52,USD,Online only,9 Medium BM
Trotters,Shoes,Black Suede,trotters women's mindy black tumbled leather boot 10 n (aa),62.96,USD,Online only: 52% off,12
Trotters,Shoes,Black Suede,trotters women's mindy black tumbled leather boot 10 n (aa),20.74,USD,Online only: 57% off,7.5
Charles by Charles David,Shoes,White,Women's Charles by Charles David Kitten Pump,49.95,USD,Online only: 50% off,10 BM US Women
City Classified,Shoes,Dark Blush,City Classified Stylish-S Women's Zipper Ankle Booties,29.95,USD,Online only,8
k-swiss,Shoes,White,women's k-swiss st329 cmf,62.79,USD,Online only,7.5
City Classified,Shoes,Chestnut,City Classified Decade-S Women's Perforated Ankle Booties,26.95,USD,Online only,8.5
Tretorn,Shoes,Birch / White,Tretorn Men's Camden 3 Suede Birch / White Ankle-High Fashion Sneaker - 8.5M,64,USD,Online only,14M
Pleaser,Shoes,Black Crinkle Patent,"FABULOUS-3035, 8 3/4'' Heel 8 1/4'' Thigh Boot",137.95,USD,Online only,Size 7
Pleaser,Shoes,Rainbow Multi Glitter/Black Matte Synthetic,Women's Pleaser Adore 1018RBG Open Toe Bootie,83.95,USD,Online only,6
Timberland PRO,Shoes,Brown,Women's Timberland PRO Renova Professional Slip-On,109.95,USD,Online only,6
Timberland PRO,Shoes,Brown,Women's Timberland PRO Renova Professional Slip-On,109.95,USD,Online only,7.5
Pleaser,Shoes,Clear PVC/Multi/Fuchsia Chrome,Women's Pleaser Adore 1017RSF Ankle Boot,103.95,USD,Online only,7
Pleaser,Shoes,Rainbow Multi Glitter/Neon White Synthetic,Women's Pleaser Adore 1018RBG Open Toe Bootie,83.95,USD,Online only,5
Timberland PRO,Shoes,Black,Women's Timberland PRO Renova Professional Slip-On,109.95,USD,Online only,7.5
Timberland PRO,Shoes,Black,Women's Timberland PRO Renova Professional Slip-On,109.95,USD,Online only,8.5
Pleaser,Shoes,Clear PVC/Multi/Fuchsia Chrome,Women's Pleaser Adore 1017RSF Ankle Boot,103.95,USD,Online only,8
Pleaser,Shoes,Clear PVC-Black/Black,women's pleaser adore 1017rsft ankle boot,98.95,USD,Online only,9
Genuine Grip,Shoes,White Leather,Women's Genuine Grip Footwear Slip-Resistant Athletic,50,USD,Online only,8
Pleaser,Shoes,Clear PVC-Black Rhinestones/Dark Pewter Chrome,Women's Pleaser Adore 1017RSF Ankle Boot,103.95,USD,Online only,10
Steve Madden,Shoes,Taupe,Steve Madden Women's Sophia Suede Taupe Leather Pump - 11M,21.99,USD,Online only: 71% off,11M
Steve Madden,Shoes,Black,Steve Madden Women's Saturn Black Leather Pump - 9M,21.99,USD,Online only: 83% off,9M
Steve Madden,Shoes,Tan,Steve Madden Women's Shanna Nubuck Grey Leather Pump - 10M,21.99,USD,Online only: 73% off,10M
Genuine Grip,Shoes,Black Leather,Women's Genuine Grip Footwear Slip-Resistant Athletic,42.3,USD,Online only: 27% off,8
Genuine Grip,Shoes,Black Soft Full Grain Leather,Genuine Grip Women's Black Casual Oxford Shoe,52.2,USD,Online only: 24% off,10
Forever Link,Shoes,Khaki Green,"Symbol37 by Forever Link, Lightweight Daddy Chunky Sneaker - Women's Fashioned Paneled Flats",27.98,USD,Online only,US 7
Style Co.,Shoes,Black,Style Co Qwinn Round Toe Synthetic Ankle Boot,25,USD,Online only: 58% off,5
Forever Link,Shoes,Black Leopard,"Symbol37 by Forever Link, Lightweight Daddy Chunky Sneaker - Women's Fashioned Paneled Flats",27.98,USD,Online only,US 8.5
Soda,Shoes,Black,"Sunkist by Soda, Lightweight Sculpted Platform Block High Heel Sandal, Slipper Mule",30,USD,Online only,US 8
PleaserUSA,Shoes,Black Patent,"SWING-105, 5 1/2'' Platform Ankle Boot",89.95,USD,Online only,11
Soda,Shoes,Black,"Sunkist by Soda, Lightweight Sculpted Platform Block High Heel Sandal, Slipper Mule",30,USD,Online only,US 7
Stuart Weitzman,Shoes,Black,Stuart Weitzman Nudist June Women's Sandals Flip Flops,300,USD,Online only: 20% off,7.5 M
PleaserUSA,Shoes,Black Patent,"SWING-105, 5 1/2'' Platform Ankle Boot",89.94,USD,Online only,8
PleaserUSA,Shoes,Black Vegan Leather,"SWING-105, 5 1/2'' Platform Ankle Boot",71.96,USD,Online only,8
PleaserUSA,Shoes,Black Vegan Leather,"SWING-105, 5 1/2'' Platform Ankle Boot",89.95,USD,Online only,9
Stuart Weitzman,Shoes,Blush Tripoli,Stuart Weitzman Womens Leather Flats Loafers,258.7,USD,Online only,7.5 Medium BM
Forever Link,Shoes,Black Leopard,"Symbol37 by Forever Link, Lightweight Daddy Chunky Sneaker - Women's Fashioned Paneled Flats",27.98,USD,Online only,US 6.5
Pleaser,Shoes,Hot Pink Crinkle Pat-Glitter,"FABULOUS-3035, 8 3/4'' Heel 8 1/4'' Thigh Boot",137.95,USD,Online only,Size 10
Soda,Shoes,Black,Faux Suede Peep Toe - Thigh High Zipper Closure Lace Up - Chunky High Heel Over The Knee Boot 9,41,USD,Online only,9 BM US
FILA,Shoes,BLACK,"Women's Fila, Workshift Memory foam wide work Shoes",39.99,USD,Online only: 33% off,6 W
FILA,Shoes,BLACK,"Women's Fila, Workshift Memory foam wide work Shoes",39.99,USD,Online only: 33% off,9 W
Steven by Steve Madden,Shoes,Pewter Multi,Steven By Steve Madden Womens Nc-Excit Round Toe Ankle Chelsea Boots,35.01,USD,Online only: 65% off,9.5
Steve Madden,Shoes,Gold,Steve Madden Womens Delta Open Toe Casual Gladiator Sandals,41.71,USD,Online only,7
Steven by Steve Madden,Shoes,Tan Suede,Steven By Steve Madden Womens Shams Open Toe Casual Gladiator Sandals,40.1,USD,Online only: 62% off,8.5
Steven by Steve Madden,Shoes,Black Suede,Steven By Steve Madden Womens Shams Open Toe Casual Gladiator Sandals,25.52,USD,Online only: 83% off,8 M US
Steven by Steve Madden,Shoes,Black Suede,Steven By Steve Madden Womens Shams Open Toe Casual Gladiator Sandals,34.07,USD,Online only: 66% off,9
Genuine Grip Footwear,Shoes,White Soft Full Grain Leather,Women's Genuine Grip Footwear Slip-Resistant Slip-on Casual,52.2,USD,Online only: 24% off,7
Steve Madden,Shoes,Beige,Steve Madden Womens Esther Closed Toe Loafers,55,USD,Online only,9.5
Genuine Grip Footwear,Shoes,White Soft Full Grain Leather,Women's Genuine Grip Footwear Slip-Resistant Slip-on Casual,52.2,USD,Online only: 24% off,10
Steve Madden,Shoes,Black Leather,Steve Madden Womens Wayne Moto Combat Booties,53.69,USD,Online only: 58% off,10 Medium BM
Steve Madden,Shoes,Black/Gold,Steve Madden Womens Goldie Booties,74.56,USD,Online only: 42% off,7.5
Skechers Work,Shoes,Navy/Charcoal,Women's Skechers Work D'Lites SR Pooler Alloy Toe Work Shoe,63.9,USD,Online only: 24% off,8.5
Anthony Wang,Shoes,White,Anthony Wang Mid Calf Women's Combat Boots in White,29,USD,Online only,7.5
Skechers Work,Shoes,White,Women's Skechers Work D'Lites SR Pooler Alloy Toe Work Shoe,145.67,USD,Online only,5.5
ellie,Shoes,Purple,5 Inch High Heel Boots Velvet Ruffled Bootie Womens Sexy Shoes,42.59,USD,Online only,8
Tretorn,Shoes,Inca Gold/White,Tretorn Women's Camden 3 Suede Lite Grey / White Ankle-High Fashion Sneaker - 4.5M,64,USD,Online only,5M
Anthony Wang,Shoes,Black,Anthony Wang Mid Calf Women's Combat Boots in White,29,USD,Online only,7
Tretorn,Shoes,Black / White,Tretorn Women's Camden 3 Suede Lite Grey / White Ankle-High Fashion Sneaker - 4.5M,44.37,USD,Online only: 45% off,5.5M
Tretorn,Shoes,Black / White,Tretorn Women's Camden 3 Suede Lite Grey / White Ankle-High Fashion Sneaker - 4.5M,64,USD,Online only: 20% off,6M
ellie,Shoes,Black,6 Inch Sexy Womens Knee Boots Curved Pattern Criss Cross Cut Out Boots,127.95,USD,Online only: 29% off,10
Skechers Work,Shoes,Gray,Women's Skechers Work D'Lites SR Pooler Alloy Toe Work Shoe,88.79,USD,Online only,6.5
American Rag,Shoes,Black,American Rag Womens Savanah Open Toe Ankle Fashion Boots,47.26,USD,Online only: 32% off,9
Anthony Wang,Shoes,Black,Anthony Wang Mid Calf Women's Combat Boots in White,29,USD,Online only,6.5
Ariat,Shoes,Brown,Ariat A10009398 Womens Western Boot Knee High Pink - One Size,13.33,USD,Online only,One Size
The Highest Heel,Shoes,Pewter Bottom Clear Up,"AMBER-821, 6'' Clear Uper With Pewter Electroplated Bottom",38.35,USD,Online only: 26% off,Size 10
ellie,Shoes,Gold,6 Inch Sexy Womens Knee Boots Curved Pattern Criss Cross Cut Out Boots,127.95,USD,Online only: 29% off,9
Tretorn,Shoes,Luxe Pink / White,Tretorn Women's Camden 3 Suede Lite Grey / White Ankle-High Fashion Sneaker - 4.5M,60.46,USD,Online only: 24% off,10M
SoftWalk,Shoes,White,Women's SoftWalk Meredith Clog,140.66,USD,Online only,7
Ros Hommerson,Shoes,White,women's ros hommerson joyce cap toe pump,173.35,USD,Online only,7 S
SoftWalk,Shoes,White,Women's SoftWalk Meredith Clog,119.99,USD,Online only,8
